Flag of vessel,Date vessel departed with captives,Vessel name,Captain's name
Netherlands,1732-09-03T00:00:00Z,Waartwijk,"Velde, Daniel ter"
Netherlands,1706-09-09T00:00:00Z,Wakende Kraan,"Hoeven, Jan van der"
Netherlands,1706-09-09T00:00:00Z,Wakende Kraan,"Wenman, Roelof"
Netherlands,,Wapen van Amsterdam,
Netherlands,,Wapen van Amsterdam,"Scheij, Pieter"
Netherlands,1700-12-15T00:00:00Z,Wapen van Holland (a) Hollandia,"Stoop, Pieter"
Netherlands,1700-12-15T00:00:00Z,Wapen van Holland (a) Hollandia,"Crans, Pieter"
Netherlands,,Wapen van Holland (a) Hollandia,"Crans, Pieter"
Netherlands,,Wapen van Holland (a) Hollandia,"Leijm, Lodewijk van der"
Netherlands,1686-02-14T00:00:00Z,Wapen van Zierikzee,"Banckert, Joost"
Netherlands,1688-10-13T00:00:00Z,Wapen van Zierikzee,"Oole, Remeus"
Netherlands,,Welvaren,"Engelsman, Samuel"
Netherlands,,Welvaren,"Dronker, Jan"
Netherlands,1682-02-08T00:00:00Z,Westsouburg,"Keuvel, Steven"
Netherlands,,Westsouburg,
Netherlands,1698-12-01T00:00:00Z,Westindisch Huis,"Kieft, Pieter Remmersz"
Netherlands,1700-12-07T00:00:00Z,Westindisch Huis,"Hincke, Jan"
Netherlands,1700-12-07T00:00:00Z,Westindisch Huis,"Kist, Jan Claasz"
Netherlands,1699-09-23T00:00:00Z,Goude Windhond,"Credo, Jan"
Netherlands,1701-08-13T00:00:00Z,Windhond,"Nebbens, Jasper"
Netherlands,1701-08-13T00:00:00Z,Windhond,"Valkenburg, Willem"
Netherlands,1695-06-09T00:00:00Z,,"Goethem, Frans van"
Netherlands,,,"Nijse, Jacob de"
Netherlands,,,"Fante, Willem"
Netherlands,,Adriana Maria,"Daling, Mathijs Evertsen"
Netherlands,1759-03-31T00:00:00Z,Adriana Petronella,"Drijber, Jacobus"
Netherlands,1759-03-31T00:00:00Z,Adriana Petronella,"Codde, Nicolaas"
Netherlands,1761-04-29T00:00:00Z,Adriana Petronella,"Kok, Christoffel"
Netherlands,,Adriana Petronella,"Kok, Christoffel"
Netherlands,1764-12-26T00:00:00Z,Adriana Petronella,"Kok, Christoffel"
Netherlands,,Adriana Petronella,"Kok, Christoffel"
Netherlands,1753-11-09T00:00:00Z,Africa,"Boore, David de (a) Bovens"
Netherlands,1764-09-16T00:00:00Z,Africa,Hollander
Netherlands,,Africa,"Harmel, Jan"
Netherlands,,Africaander,"Smit, Jan"
Netherlands,,Africaander,"Schrijver, Jan de"
Netherlands,1744-06-19T00:00:00Z,Africaander,"Hagerop, Christiaan"
Netherlands,,Africaander,"Hagerop, Christiaan"
Netherlands,,Africain,
