,Flag of vessel,Date vessel departed with captives,Vessel name,Captain's name
0,Netherlands,1732-09-03T00:00:00Z,Waartwijk,"Velde, Daniel ter"
1,Netherlands,1706-09-09T00:00:00Z,Wakende Kraan,"Hoeven, Jan van der<br/> Wenman, Roelof"
2,Netherlands,,Wapen van Amsterdam,
3,Netherlands,,Wapen van Amsterdam,"Scheij, Pieter"
4,Netherlands,1700-12-15T00:00:00Z,Wapen van Holland (a) Hollandia,"Stoop, Pieter<br/> Crans, Pieter"
5,Netherlands,,Wapen van Holland (a) Hollandia,"Crans, Pieter"
6,Netherlands,,Wapen van Holland (a) Hollandia,"Leijm, Lodewijk van der"
7,Netherlands,1686-02-14T00:00:00Z,Wapen van Zierikzee,"Banckert, Joost"
8,Netherlands,1688-10-13T00:00:00Z,Wapen van Zierikzee,"Oole, Remeus"
9,Netherlands,,Welvaren,"Engelsman, Samuel<br/> Dronker, Jan"
10,Netherlands,1682-02-08T00:00:00Z,Westsouburg,"Keuvel, Steven"
11,Netherlands,,Westsouburg,
12,Netherlands,1698-12-01T00:00:00Z,Westindisch Huis,"Kieft, Pieter Remmersz"
13,Netherlands,1700-12-07T00:00:00Z,Westindisch Huis,"Hincke, Jan<br/> Kist, Jan Claasz"
14,Netherlands,1699-09-23T00:00:00Z,Goude Windhond,"Credo, Jan"
15,Netherlands,1701-08-13T00:00:00Z,Windhond,"Nebbens, Jasper<br/> Valkenburg, Willem"
16,Netherlands,1695-06-09T00:00:00Z,,"Goethem, Frans van"
17,Netherlands,,,"Nijse, Jacob de<br/> Fante, Willem"
18,Netherlands,,Adriana Maria,"Daling, Mathijs Evertsen"
19,Netherlands,1759-03-31T00:00:00Z,Adriana Petronella,"Drijber, Jacobus<br/> Codde, Nicolaas"
20,Netherlands,1761-04-29T00:00:00Z,Adriana Petronella,"Kok, Christoffel"
21,Netherlands,,Adriana Petronella,"Kok, Christoffel"
22,Netherlands,1764-12-26T00:00:00Z,Adriana Petronella,"Kok, Christoffel"
23,Netherlands,,Adriana Petronella,"Kok, Christoffel"
24,Netherlands,1753-11-09T00:00:00Z,Africa,"Boore, David de (a) Bovens"
25,Netherlands,1764-09-16T00:00:00Z,Africa,Hollander
