,Flag of vessel,Date vessel departed with captives,Vessel name,Captain's name,Reordered Captain's name respelled,Original Captain's name,Vessel name corrected,Original Vessel name
0,Netherlands,1732-09-03T00:00:00Z,Waartwijk,"Velde, Daniel ter", Daniel ter Velde,,,
1,Netherlands,1706-09-09T00:00:00Z,Wakende Kraan,"Hoeven, Jan van der", Jan van der Hoeven,,,
2,Netherlands,1706-09-09T00:00:00Z,Wakende Kraan,"Wenman, Roelof", Roelof Wenman,,,
3,Netherlands,,Wapen van Amsterdam,,,,,
4,Netherlands,,Wapen van Amsterdam,"Scheij, Pieter", Pieter Scheij,,,
5,Netherlands,1700-12-15T00:00:00Z,Wapen van Holland (a) Hollandia,"Stoop, Pieter", Pieter Stoop,,Wapen van Holland , Hollandia
6,Netherlands,1700-12-15T00:00:00Z,Wapen van Holland (a) Hollandia,"Crans, Pieter", Pieter Crans,,Wapen van Holland , Hollandia
7,Netherlands,,Wapen van Holland (a) Hollandia,"Crans, Pieter", Pieter Crans,,Wapen van Holland , Hollandia
8,Netherlands,,Wapen van Holland (a) Hollandia,"Leijm, Lodewijk van der", Lodewijk van der Leijm,,Wapen van Holland , Hollandia
9,Netherlands,1686-02-14T00:00:00Z,Wapen van Zierikzee,"Banckert, Joost", Joost Banckert,,,
10,Netherlands,1688-10-13T00:00:00Z,Wapen van Zierikzee,"Oole, Remeus", Remeus Oole,,,
11,Netherlands,,Welvaren,"Engelsman, Samuel", Samuel Engelsman,,,
12,Netherlands,,Welvaren,"Dronker, Jan", Jan Dronker,,,
13,Netherlands,1682-02-08T00:00:00Z,Westsouburg,"Keuvel, Steven", Steven Keuvel,,,
14,Netherlands,,Westsouburg,,,,,
15,Netherlands,1698-12-01T00:00:00Z,Westindisch Huis,"Kieft, Pieter Remmersz", Pieter Remmersz Kieft,,,
16,Netherlands,1700-12-07T00:00:00Z,Westindisch Huis,"Hincke, Jan", Jan Hincke,,,
17,Netherlands,1700-12-07T00:00:00Z,Westindisch Huis,"Kist, Jan Claasz", Jan Claasz Kist,,,
18,Netherlands,1699-09-23T00:00:00Z,Goude Windhond,"Credo, Jan", Jan Credo,,,
19,Netherlands,1701-08-13T00:00:00Z,Windhond,"Nebbens, Jasper", Jasper Nebbens,,,
20,Netherlands,1701-08-13T00:00:00Z,Windhond,"Valkenburg, Willem", Willem Valkenburg,,,
21,Netherlands,1695-06-09T00:00:00Z,,"Goethem, Frans van", Frans van Goethem,,,
22,Netherlands,,,"Nijse, Jacob de", Jacob de Nijse,,,
23,Netherlands,,,"Fante, Willem", Willem Fante,,,
24,Netherlands,,Adriana Maria,"Daling, Mathijs Evertsen", Mathijs Evertsen Daling,,,
25,Netherlands,1759-03-31T00:00:00Z,Adriana Petronella,"Drijber, Jacobus", Jacobus Drijber,,,
26,Netherlands,1759-03-31T00:00:00Z,Adriana Petronella,"Codde, Nicolaas", Nicolaas Codde,,,
27,Netherlands,1761-04-29T00:00:00Z,Adriana Petronella,"Kok, Christoffel", Christoffel Kok,,,
28,Netherlands,,Adriana Petronella,"Kok, Christoffel", Christoffel Kok,,,
29,Netherlands,1764-12-26T00:00:00Z,Adriana Petronella,"Kok, Christoffel", Christoffel Kok,,,
30,Netherlands,,Adriana Petronella,"Kok, Christoffel", Christoffel Kok,,,
31,Netherlands,1753-11-09T00:00:00Z,Africa,"Boore, David de (a) Bovens", David de Boore,Bovens,,
32,Netherlands,1764-09-16T00:00:00Z,Africa,Hollander,Hollander,,,
33,Netherlands,,Africa,"Harmel, Jan", Jan Harmel,,,
34,Netherlands,,Africaander,"Smit, Jan", Jan Smit,,,
35,Netherlands,,Africaander,"Schrijver, Jan de", Jan de Schrijver,,,
36,Netherlands,1744-06-19T00:00:00Z,Africaander,"Hagerop, Christiaan", Christiaan Hagerop,,,
37,Netherlands,,Africaander,"Hagerop, Christiaan", Christiaan Hagerop,,,
38,Netherlands,,Africain,,,,,
39,Netherlands,,Africaanse Galei,"Vendevijle, Pieter", Pieter Vendevijle,,,
40,Netherlands,,Africaanse Galei,"Ruleau, Daniel", Daniel Ruleau,,,
41,Netherlands,1742-12-23T00:00:00Z,Africaanse Galei,"Bonrepo, Gideon de", Gideon de Bonrepo,,,
42,Netherlands,1788-10-11T00:00:00Z,Algemeen Welvaren,"Oostdijk, Wilhelmus", Wilhelmus Oostdijk,,,
43,Netherlands,,America,"Wouters, Jan", Jan Wouters,,,
44,Netherlands,,America,"Reichert, Michiel", Michiel Reichert,,,
45,Netherlands,,America,"Noordhof, Nicolaas", Nicolaas Noordhof,,,
46,Netherlands,,America,"Noordhof, Nicolaas", Nicolaas Noordhof,,,
47,Netherlands,,America,"Hees, Jan van", Jan van Hees,,,
48,Netherlands,,America,"Hees, Jan van", Jan van Hees,,,
49,Netherlands,,America,"Bollevaarde, J", J Bollevaarde,,,
50,Netherlands,,Amphitrite,"Dedelhof, Pieter", Pieter Dedelhof,,,
51,Netherlands,,Amphitrite,"Huijsing, C", C Huijsing,,,
52,Netherlands,,Anna en Catharina,"Heere, C M de", C M de Heere,,,
53,Netherlands,,Anna en Catharina,"Stuurling, Laurens", Laurens Stuurling,,,
54,Netherlands,1773-06-11T00:00:00Z,Anna en Catharina,"Stuurling, Laurens", Laurens Stuurling,,,
55,Netherlands,,Anna en Catharina,"Stuurling, Laurens", Laurens Stuurling,,,
56,Netherlands,,Anna Galei,"Vrij, Jan", Jan Vrij,,,
57,Netherlands,,Anna Galei,"Brinkman, Christiaan", Christiaan Brinkman,,,
58,Netherlands,,Anna Galei,"Bruijn, Arend", Arend Bruijn,,,
59,Netherlands,,Anna Galei,"Bruijn, Arend", Arend Bruijn,,,
60,Netherlands,,Anna Galei,"Bruijn, Arend", Arend Bruijn,,,
61,Netherlands,1764-08-04T00:00:00Z,Anna en Maria,"Lagerboom, Pieter", Pieter Lagerboom,,,
62,Netherlands,,Anna en Maria,"Lagerboom, Pieter", Pieter Lagerboom,,,
63,Netherlands,,Anna en Maria,"Eggers, Martin", Martin Eggers,,,
64,Netherlands,,Anna en Maria,"Eggers, Marten", Marten Eggers,,,
65,Netherlands,,Anthony Ewout,"Sap, Adriaan", Adriaan Sap,,,
66,Netherlands,,Anthony Ewout,"Vriese, J de", J de Vriese,,,
67,Netherlands,,Anthony Ewout,"Vriese, Jacobus de", Jacobus de Vriese,,,
68,Netherlands,,Anthony Ewout,"Vriese, Jacobus de", Jacobus de Vriese,,,
69,Netherlands,,Anthony Ewout,"Vriese, Jacobus de", Jacobus de Vriese,,,
70,Netherlands,1772-10-21T00:00:00Z,Aurora,"Bakker, Johannes", Johannes Bakker,,,
71,Netherlands,1774-12-15T00:00:00Z,Aurora,"Bakker, Johannes", Johannes Bakker,,,
72,Netherlands,1776-12-14T00:00:00Z,Aurora,"Michielsen, Olfert", Olfert Michielsen,,,
73,Netherlands,1779-09-04T00:00:00Z,Aurora,"Gargon, Arnoldus J", Arnoldus J Gargon,,,
74,Netherlands,,Aurora,"Gargon, Arnoldus J", Arnoldus J Gargon,,,
75,Netherlands,,Aurora,"Goodwill, Robert", Robert Goodwill,,,
76,Netherlands,1789-01-06T00:00:00Z,Aurora,"Bollaard, Hermanus", Hermanus Bollaard,,,
