,str_eff,cct_label,class
0,14303,Person Appellation in a Language,https://ontome.net/ontology/c868
1,8189,Ship Voyage,https://ontome.net/ontology/c523
2,8174,Time-Span,https://ontome.net/ontology/c50
3,7614,Person,https://ontome.net/ontology/c21
4,7217,Appellation in a Language,https://ontome.net/ontology/c365
5,5278,Geographical Place,https://ontome.net/ontology/c363
6,5269,Presence,https://ontome.net/ontology/c84
7,1855,Ship,https://ontome.net/ontology/c522
8,28,Annotation in Text,https://ontome.net/ontology/c933
9,28,Definition,https://ontome.net/ontology/c899
10,10,Type of manifestation product type,https://ontome.net/ontology/c452
11,8,VOC Chamber,https://ontome.net/ontology/c529
12,5,Expression / Source Content,https://ontome.net/ontology/c218
13,4,Bibliographical Record,https://ontome.net/ontology/c219
14,4,Expression portion,https://ontome.net/ontology/c503
15,3,Entity Quality Type,https://ontome.net/ontology/c520
16,3,Expression Portion Type,https://ontome.net/ontology/c516
17,3,Geographical Place Type,https://ontome.net/ontology/c364
18,3,Manifestation Singleton Type,https://ontome.net/ontology/c450
19,3,Text,https://ontome.net/ontology/c785
20,2,Item Type,https://ontome.net/ontology/c519
21,1,Construction,https://ontome.net/ontology/c441
22,1,Construction Type,https://ontome.net/ontology/c443
