s,sl,pl,0
http://geovistory.org/resource/i178921,Meijenburg,had carried out,21
http://geovistory.org/resource/i179754,Zutphen,had carried out,19
http://geovistory.org/resource/i179061,Oranje,had carried out,18
http://geovistory.org/resource/i178340,Enkhuizen,had carried out,18
http://geovistory.org/resource/i178558,Hof Van Zeeland,had carried out,17
http://geovistory.org/resource/i178884,Malakka,had carried out,17
http://geovistory.org/resource/i179107,Patmos,had carried out,17
http://geovistory.org/resource/i179455,Verenigde Provincien,had carried out,17
http://geovistory.org/resource/i179619,Westerdijkshorn,had carried out,17
http://geovistory.org/resource/i178525,Henriette Louise,had carried out,17
http://geovistory.org/resource/i179665,Olifant,had carried out,17
http://geovistory.org/resource/i179570,Walvis,had carried out,17
http://geovistory.org/resource/i178948,Mijnden,had carried out,17
http://geovistory.org/resource/i179700,Zeelandia,had carried out,17
http://geovistory.org/resource/i178046,Baarzande,had carried out,16
http://geovistory.org/resource/i178447,Grimmestein,had carried out,16
http://geovistory.org/resource/i178587,Hoop,had carried out,15
http://geovistory.org/resource/i179225,Rotterdam,had carried out,15
http://geovistory.org/resource/i178325,Elisabeth,had carried out,15
http://geovistory.org/resource/i178401,Generale Vrede,had carried out,15
http://geovistory.org/resource/i179155,Prinses Royaal,had carried out,15
http://geovistory.org/resource/i179728,Zoetelingskerke,had carried out,15
http://geovistory.org/resource/i178570,Hollandia,had carried out,15
http://geovistory.org/resource/i178812,Leeuwarden,had carried out,15
http://geovistory.org/resource/i178353,Everswaart,had carried out,15
http://geovistory.org/resource/i178878,Magdalena,had carried out,15
http://geovistory.org/resource/i179639,Wickenburg,had carried out,15
http://geovistory.org/resource/i178144,Breda,had carried out,15
http://geovistory.org/resource/i179051,Oostrust,had carried out,15
http://geovistory.org/resource/i178539,Hillegonda,had carried out,15
http://geovistory.org/resource/i178083,Berkenrode,had carried out,15
http://geovistory.org/resource/i179333,Spiering,had carried out,15
http://geovistory.org/resource/i179013,Nieuwvliet,had carried out,15
http://geovistory.org/resource/i178451,Groenswaart,had carried out,15
http://geovistory.org/resource/i177953,'t Loo,had carried out,15
http://geovistory.org/resource/i178057,Barneveld,had carried out,15
http://geovistory.org/resource/i178978,Nassau,had carried out,15
http://geovistory.org/resource/i178208,Cornelia,had carried out,15
http://geovistory.org/resource/i179146,Prattenburg,had carried out,15
http://geovistory.org/resource/i179798,Batavier,had carried out,14
http://geovistory.org/resource/i179627,Westfriesland,had carried out,14
http://geovistory.org/resource/i179022,Noordbeek,had carried out,13
http://geovistory.org/resource/i179017,Noord Nieuwland,had carried out,13
http://geovistory.org/resource/i178262,Donkervliet,had carried out,13
http://geovistory.org/resource/i178565,Hogersmilde,had carried out,13
http://geovistory.org/resource/i179521,Vredestein,had carried out,13
http://geovistory.org/resource/i178370,Gaasperdam,had carried out,13
http://geovistory.org/resource/i178375,Gansenhoef,had carried out,13
http://geovistory.org/resource/i178438,Gouverneur-Generaal,had carried out,13
http://geovistory.org/resource/i179342,Stad Leiden,had carried out,13
http://geovistory.org/resource/i177992,Amersfoort,had carried out,13
http://geovistory.org/resource/i179242,Salamander,had carried out,13
http://geovistory.org/resource/i179529,Vrijheid,had carried out,13
http://geovistory.org/resource/i178609,Huis De Vlotter,had carried out,13
http://geovistory.org/resource/i178267,Dordrecht,had carried out,13
http://geovistory.org/resource/i179526,Vrijburg,had carried out,13
http://geovistory.org/resource/i178762,Koning Karel De Derde,had carried out,13
http://geovistory.org/resource/i178626,Huis Te Loo,had carried out,13
http://geovistory.org/resource/i179599,Wassenaar,had carried out,13
http://geovistory.org/resource/i178366,Frederik Hendrik,had carried out,13
http://geovistory.org/resource/i179024,Noorderkwartier,had carried out,13
http://geovistory.org/resource/i178664,Immagonda,had carried out,13
http://geovistory.org/resource/i178077,Berbices,had carried out,13
http://geovistory.org/resource/i179347,Standvastigheid,had carried out,13
http://geovistory.org/resource/i179508,Vosmaar,had carried out,13
http://geovistory.org/resource/i178866,Lycochton,had carried out,13
http://geovistory.org/resource/i179235,Rust En Werk,had carried out,13
http://geovistory.org/resource/i178601,Horstendaal,had carried out,13
http://geovistory.org/resource/i178752,Knappenhof,had carried out,13
http://geovistory.org/resource/i179352,Steenhoven,had carried out,13
http://geovistory.org/resource/i179637,Wezel,had carried out,13
http://geovistory.org/resource/i179307,Sloten,had carried out,13
http://geovistory.org/resource/i179419,Unie,had carried out,13
http://geovistory.org/resource/i178220,Delfland,had carried out,13
http://geovistory.org/resource/i178185,Castricum,had carried out,13
http://geovistory.org/resource/i178545,Hoedekenskerke,had carried out,13
http://geovistory.org/resource/i178736,Ketel,had carried out,13
http://geovistory.org/resource/i179630,Westhoven,had carried out,13
http://geovistory.org/resource/i178236,Den Dam,had carried out,13
http://geovistory.org/resource/i178689,Jonge Lieve,had carried out,13
http://geovistory.org/resource/i178642,Huis Ten Donk,had carried out,13
http://geovistory.org/resource/i179188,Aurich,had carried out,13
http://geovistory.org/resource/i179044,Oosterstein,had carried out,13
http://geovistory.org/resource/i178643,Huis Ten Donk,had carried out,13
http://geovistory.org/resource/i179433,Valkenisse,had carried out,13
http://geovistory.org/resource/i179585,Hogersmilde,had carried out,13
http://geovistory.org/resource/i178138,Bovenkerker Polder,had carried out,12
http://geovistory.org/resource/i179522,Vreeburg,had carried out,12
http://geovistory.org/resource/i179028,Noordwaddinxveen,had carried out,12
http://geovistory.org/resource/i179070,Oud Haarlem,had carried out,12
http://geovistory.org/resource/i179326,Spanderswoud,had carried out,12
http://geovistory.org/resource/i179493,Voorburg,had carried out,12
http://geovistory.org/resource/i179528,Vrije Zee,had carried out,12
http://geovistory.org/resource/i179571,Wapen Van Alkmaar,had carried out,12
http://geovistory.org/resource/i178434,Goudriaan,had carried out,12
http://geovistory.org/resource/i178173,Burcht Van Leiden,had carried out,12
http://geovistory.org/resource/i178743,Klarabeek,had carried out,12
http://geovistory.org/resource/i178611,Huis Om,had carried out,12
http://geovistory.org/resource/i179647,Willem De Vijfde,had carried out,12
http://geovistory.org/resource/i178797,Lands Welvaren,had carried out,12
http://geovistory.org/resource/i179618,Westerbeek,had carried out,12
http://geovistory.org/resource/i178721,Buvegnies,had carried out,12
http://geovistory.org/resource/i178232,Den Berg,had carried out,12
http://geovistory.org/resource/i179485,Vlissingen,had carried out,11
http://geovistory.org/resource/i178528,Herstelde Leeuw,had carried out,11
http://geovistory.org/resource/i179425,Vaderland Getrouw,had carried out,11
http://geovistory.org/resource/i179190,Rijksdorp,had carried out,11
http://geovistory.org/resource/i179151,Prins Willem Hendrik,had carried out,11
http://geovistory.org/resource/i178758,Kommerrust,had carried out,11
http://geovistory.org/resource/i179080,Ouwerkerk,had carried out,11
http://geovistory.org/resource/i179358,Stralen,had carried out,11
http://geovistory.org/resource/i178404,Gerechtigheid,had carried out,11
http://geovistory.org/resource/i179743,Zuid-Beveland,had carried out,11
http://geovistory.org/resource/i178738,Kiefhoek,had carried out,11
http://geovistory.org/resource/i179489,Vogelstruis,had carried out,11
http://geovistory.org/resource/i178741,Kievitsheuvel,had carried out,11
http://geovistory.org/resource/i179057,Opperdoes,had carried out,11
http://geovistory.org/resource/i179380,Ter Horst,had carried out,11
http://geovistory.org/resource/i178108,Bleiswijk,had carried out,11
http://geovistory.org/resource/i178775,Krabbendijke,had carried out,11
http://geovistory.org/resource/i178030,Arnestijn,had carried out,11
http://geovistory.org/resource/i178005,Amsterdam,had carried out,11
http://geovistory.org/resource/i179100,Parel,had carried out,11
http://geovistory.org/resource/i178693,Jonge Samuel,had carried out,11
http://geovistory.org/resource/i178112,Blijdorp,had carried out,11
http://geovistory.org/resource/i179331,Spiegel,had carried out,11
http://geovistory.org/resource/i179402,Torenvliet,had carried out,11
http://geovistory.org/resource/i179644,Wildrijk,had carried out,11
http://geovistory.org/resource/i178716,Karsenhof,had carried out,11
http://geovistory.org/resource/i179683,Zandenburg,had carried out,11
http://geovistory.org/resource/i179088,Overschie,had carried out,11
http://geovistory.org/resource/i179094,Pallas,had carried out,11
