s,sl,pl,0
http://geovistory.org/resource/i87622,Willem Simonse,has appellation for language,7
http://geovistory.org/resource/i88746,Cornelis Stevensen,has appellation for language,7
http://geovistory.org/resource/i91714,Amon Roulofse,has appellation for language,7
http://geovistory.org/resource/i84896,Pieter Doolhagen,has appellation for language,7
http://geovistory.org/resource/i86690,Jan Nijster,has appellation for language,6
http://geovistory.org/resource/i88130,Coenraad Scheerenberg,has appellation for language,6
http://geovistory.org/resource/i85957,Jan Stoffelsz. Noorberg,has appellation for language,6
http://geovistory.org/resource/i88738,Marinus Commerse,has appellation for language,5
http://geovistory.org/resource/i88692,Jacobus Hendrisz.,has appellation for language,5
http://geovistory.org/resource/i90780,Antonij Corlee,has appellation for language,5
http://geovistory.org/resource/i86921,Jan Kleijnswaager,has appellation for language,5
http://geovistory.org/resource/i85629,Jan Fredriksz Kroon,has appellation for language,5
http://geovistory.org/resource/i89023,Jan Wijbrandsz,has appellation for language,5
http://geovistory.org/resource/i86758,Jan Willemsz Kleijn,has appellation for language,5
http://geovistory.org/resource/i90981,Theunis Bastiaansz de Witt,has appellation for language,5
http://geovistory.org/resource/i90994,Dirk Cornee,has appellation for language,5
http://geovistory.org/resource/i88773,Pieter Volkersz van der Spel,has appellation for language,5
http://geovistory.org/resource/i86717,Andries Andresse,has appellation for language,5
http://geovistory.org/resource/i86693,Leendert Leendertsz,has appellation for language,5
http://geovistory.org/resource/i88856,Anthonij Klingh,has appellation for language,5
http://geovistory.org/resource/i86690,Jan Nijster,had as participant,5
http://geovistory.org/resource/i91136,Bastiaan Heroldt,has appellation for language,5
http://geovistory.org/resource/i84871,Ariaen Crijnsen,has appellation for language,5
http://geovistory.org/resource/i91201,Jan Nicolaas Herold,has appellation for language,5
http://geovistory.org/resource/i84889,Jan Leendersz,has appellation for language,5
http://geovistory.org/resource/i92010,Jan Christiaan Sweijtser,has appellation for language,5
http://geovistory.org/resource/i84972,Isaaq Jansen,has appellation for language,5
http://geovistory.org/resource/i88153,Pieter Matthijssen,has appellation for language,5
http://geovistory.org/resource/i88688,Aarnout Danielsz,has appellation for language,5
http://geovistory.org/resource/i85036,Huijgo van der Slicke,has appellation for language,5
http://geovistory.org/resource/i85060,Frederik van Eijk,has appellation for language,5
http://geovistory.org/resource/i88391,Christiaen Zaedberg,has appellation for language,5
http://geovistory.org/resource/i88384,Dirk Maartensz,has appellation for language,5
http://geovistory.org/resource/i85187,Dominicus Barendsz,has appellation for language,5
http://geovistory.org/resource/i88764,Geleijn Leijnse,has appellation for language,5
http://geovistory.org/resource/i92055,Jan Pollij,has appellation for language,5
http://geovistory.org/resource/i88057,Cornelis Gijze,has appellation for language,5
http://geovistory.org/resource/i87968,Jan Maendecker,has appellation for language,5
http://geovistory.org/resource/i87731,Carel Paleijn,has appellation for language,5
http://geovistory.org/resource/i92098,Jan Jansz. Rotol,has appellation for language,5
http://geovistory.org/resource/i86403,Hendrik Dirksen,has appellation for language,5
http://geovistory.org/resource/i87594,Gilles Callaerd,has appellation for language,5
http://geovistory.org/resource/i86418,Gerrit Willaarts,has appellation for language,5
http://geovistory.org/resource/i87248,Jan Joorisz,has appellation for language,5
http://geovistory.org/resource/i85917,Adriaen Stoffelsen,has appellation for language,5
http://geovistory.org/resource/i86389,Geleijn Janssen Snoek,has appellation for language,5
http://geovistory.org/resource/i86055,Pieter van der Cruijsse,has appellation for language,5
http://geovistory.org/resource/i86131,Fredrik Jansen,has appellation for language,5
http://geovistory.org/resource/i89082,Jonas Guistenburg,has appellation for language,5
http://geovistory.org/resource/i91543,Joseph Corties,has appellation for language,5
http://geovistory.org/resource/i91345,Frans Marinus Wols,has appellation for language,5
http://geovistory.org/resource/i86404,Thomas Andriesz,has appellation for language,4
http://geovistory.org/resource/i88100,Pieter Adriaansz,has appellation for language,4
http://geovistory.org/resource/i89989,Huijbregt Huijbregtse,has appellation for language,4
http://geovistory.org/resource/i89987,Cornelis van Swaanenburg,has appellation for language,4
http://geovistory.org/resource/i88011,Hermanus Cornelisz.,has appellation for language,4
http://geovistory.org/resource/i89950,Adriaan Gillisse,has appellation for language,4
http://geovistory.org/resource/i88029,Teunis Albertsz.,has appellation for language,4
http://geovistory.org/resource/i88034,Jan Franc Willems,has appellation for language,4
http://geovistory.org/resource/i91513,Jacob Leuwen,has appellation for language,4
http://geovistory.org/resource/i88118,Hendrik van Rhaa,has appellation for language,4
http://geovistory.org/resource/i88106,Job Danielsz Punters,has appellation for language,4
http://geovistory.org/resource/i85204,Cornelis Roosentre,has appellation for language,4
http://geovistory.org/resource/i90010,Pieter Sandertsz Heiligendag,has appellation for language,4
http://geovistory.org/resource/i88122,Gerrit Sijkes,has appellation for language,4
http://geovistory.org/resource/i91649,Marinus Kamhooft,has appellation for language,4
http://geovistory.org/resource/i89849,Jan Christoffel Tiede,has appellation for language,4
http://geovistory.org/resource/i89847,Cornelis Jurriaansz.,has appellation for language,4
http://geovistory.org/resource/i91520,Matthijs Wijnants,has appellation for language,4
http://geovistory.org/resource/i88167,Willem Jansen Outshoorn,has appellation for language,4
http://geovistory.org/resource/i85171,Jan de Jonge,has appellation for language,4
http://geovistory.org/resource/i91653,Judokus Stevens,has appellation for language,4
http://geovistory.org/resource/i85277,Jan Gessing,has appellation for language,4
http://geovistory.org/resource/i92156,Cornelis Aldeveld,has appellation for language,4
http://geovistory.org/resource/i92085,Jan Willem Bets,has appellation for language,4
http://geovistory.org/resource/i86112,Jan Terwe,has appellation for language,4
http://geovistory.org/resource/i90282,Andries Boudewijn,has appellation for language,4
http://geovistory.org/resource/i92070,Christian Pietersse,has appellation for language,4
http://geovistory.org/resource/i85374,Claes Weijerse Klink,has appellation for language,4
http://geovistory.org/resource/i85373,Barent Hendriksz,has appellation for language,4
http://geovistory.org/resource/i86110,Gerrit Huijbregse,has appellation for language,4
http://geovistory.org/resource/i90264,Jan Pietersz. Vis,has appellation for language,4
http://geovistory.org/resource/i85363,Adriaen van Asen delft,has appellation for language,4
http://geovistory.org/resource/i87660,Pieter Dorreman,has appellation for language,4
http://geovistory.org/resource/i86105,Claas Mourits,has appellation for language,4
http://geovistory.org/resource/i85147,Paulus de Kerkhoff,has appellation for language,4
http://geovistory.org/resource/i87731,Carel Paleijn,had as participant,4
http://geovistory.org/resource/i91497,Gerrit Everts Popken,has appellation for language,4
http://geovistory.org/resource/i85315,Hendrik van de Grip,has appellation for language,4
http://geovistory.org/resource/i87796,Gonjert Cornelissen,has appellation for language,4
http://geovistory.org/resource/i90109,Harmanus Hendriksz,has appellation for language,4
http://geovistory.org/resource/i90101,Lourens Houtepen,has appellation for language,4
http://geovistory.org/resource/i87845,Niclaas Lijzander,has appellation for language,4
http://geovistory.org/resource/i87865,Hendrik Boersen,has appellation for language,4
http://geovistory.org/resource/i87880,Daniel Leendertsz.,has appellation for language,4
http://geovistory.org/resource/i89740,Anthonij Marinusse,has appellation for language,4
http://geovistory.org/resource/i88313,Gerrit Winterrak,has appellation for language,4
http://geovistory.org/resource/i92254,Jan Alderts,has appellation for language,4
http://geovistory.org/resource/i86039,Lieven Cornelisse,has appellation for language,4
http://geovistory.org/resource/i92347,Carel Stoedegen,has appellation for language,4
http://geovistory.org/resource/i89445,Miggiel Weijsman,has appellation for language,4
http://geovistory.org/resource/i88639,Christiaan Lourensz,has appellation for language,4
http://geovistory.org/resource/i89421,Jan Simonsz Droogendijk,has appellation for language,4
http://geovistory.org/resource/i92357,Jan van Schaaijk,has appellation for language,4
http://geovistory.org/resource/i86041,Cornelis van Wijngaerde,has appellation for language,4
http://geovistory.org/resource/i84998,Jan Gijsbertse Palm,has appellation for language,4
http://geovistory.org/resource/i88703,Jan Bastiaansz Storm,has appellation for language,4
http://geovistory.org/resource/i88731,Jacobus Rijkenbosch,has appellation for language,4
http://geovistory.org/resource/i91635,Ezechiël Lombaert,has appellation for language,4
http://geovistory.org/resource/i89715,Jacob Hoogermoolen,has appellation for language,4
http://geovistory.org/resource/i84974,Jacob Janz,has appellation for language,4
http://geovistory.org/resource/i86010,Apollonius den Hollander,has appellation for language,4
http://geovistory.org/resource/i89335,Willem van Eck,has appellation for language,4
http://geovistory.org/resource/i85993,Jan Huijgbregtsen,has appellation for language,4
http://geovistory.org/resource/i88823,Josua de Wit,has appellation for language,4
http://geovistory.org/resource/i92400,Gabriel Haringh,had as participant,4
http://geovistory.org/resource/i84951,Cornelis Roelofze,has appellation for language,4
http://geovistory.org/resource/i89266,Pieter Robbertsz Leuwerk,has appellation for language,4
http://geovistory.org/resource/i85965,Cornelis Willebring,has appellation for language,4
http://geovistory.org/resource/i92334,Jacob Aarnoud,has appellation for language,4
http://geovistory.org/resource/i91538,Laurens Moersman,has appellation for language,4
http://geovistory.org/resource/i89503,Dirck Coenraadsz,has appellation for language,4
http://geovistory.org/resource/i88568,Pieter Swanendregt,has appellation for language,4
http://geovistory.org/resource/i90307,Jan Hecht,has appellation for language,4
http://geovistory.org/resource/i88329,Isaak Baro,has appellation for language,4
http://geovistory.org/resource/i85112,Jan Hazard,has appellation for language,4
http://geovistory.org/resource/i89667,Pieter Knuijstingh,has appellation for language,4
http://geovistory.org/resource/i85919,Matthijs van Laere,has appellation for language,4
http://geovistory.org/resource/i88438,Roelof Berleijn,has appellation for language,4
http://geovistory.org/resource/i85087,Jan Robbertse,has appellation for language,4
http://geovistory.org/resource/i88473,Jan Daniels,has appellation for language,4
http://geovistory.org/resource/i85075,Claes de Hart,has appellation for language,4
http://geovistory.org/resource/i89573,Jacob Claasen,has appellation for language,4
http://geovistory.org/resource/i88491,Reinier Konke,has appellation for language,4
http://geovistory.org/resource/i86054,Simon Muller,has appellation for language,4
http://geovistory.org/resource/i89544,Lambert Hendriksz,has appellation for language,4
http://geovistory.org/resource/i88521,Hermanus Kleijsen,has appellation for language,4
http://geovistory.org/resource/i88523,Jacobus van Koorenhuijse,has appellation for language,4
http://geovistory.org/resource/i88524,Michiel Florisz.,had as participant,4
http://geovistory.org/resource/i88525,Oliviers Sijmonsz,has appellation for language,4
http://geovistory.org/resource/i85048,Adriaen Mennes,has appellation for language,4
http://geovistory.org/resource/i89504,Dirk Jorissen de Jonge,has appellation for language,4
http://geovistory.org/resource/i90307,Jan Hecht,had as participant,4
http://geovistory.org/resource/i90326,Pieter Blommaert,has appellation for language,4
http://geovistory.org/resource/i86129,Jan Bogaert,has appellation for language,4
http://geovistory.org/resource/i86412,Jan Dircksz.,has appellation for language,4
http://geovistory.org/resource/i86657,Roelof Reijnholt,has appellation for language,4
http://geovistory.org/resource/i91045,Roeloff Valentijn,has appellation for language,4
